year,date,country,number_of_companies,number_of_defaults,default_rate,gdp_growth,exports,imports,labor_costs_index,production,short_interest
2014,2014-12-01,Netherlands,294149,3119,0.0106034696701332,0.6957243333333334,4.9540066666666664,1.768932333333333,-1.15385262,0.6398738671235864,0.777
2015,2015-01-01,Netherlands,310700,3092,0.009951721918249109,0.595551,6.734986,1.930995,-1.7681740000000001,1.8230029830958,0.52
2015,2015-02-01,Netherlands,310700,3031,0.009755391052462179,0.5002606666666667,3.4293566666666666,10.676092,-1.1327331333333333,0.13026587761941655,0.41600000000000004
2015,2015-03-01,Netherlands,310700,3046,0.00980366913421307,0.4049703333333333,0.12372733333333308,19.421189,-0.4972922666666666,-1.5624712278569668,0.326
2015,2015-04-01,Netherlands,310700,2967,0.009549404570325071,0.30968,-3.181902,28.166286,0.1381486,-3.25520833333335,0.314
2015,2015-05-01,Netherlands,310700,2877,0.00925973607981976,0.3207406666666667,-1.7283553333333332,12.745793333333333,0.16581543333333335,-2.2935125990728378,0.754
2015,2015-06-01,Netherlands,310700,2843,0.00915030576118442,0.3318013333333333,-0.2748086666666665,-2.6746993333333333,0.19348226666666665,-1.331816864812326,1.054
2015,2015-07-01,Netherlands,310700,2782,0.00895397489539749,0.342862,1.1787379999999998,-18.095192,0.2211491,-0.370121130551814,0.986
2015,2015-08-01,Netherlands,310700,2725,0.00877051818474413,0.234004,1.0906893333333332,-11.36696,0.3151219,0.2373232764687673,0.853
2015,2015-09-01,Netherlands,310700,2619,0.008429353073704541,0.125146,1.0026406666666663,-4.638727999999999,0.40909470000000003,0.8447676834893487,0.866
2015,2015-10-01,Netherlands,310700,2529,0.00813968458319923,0.016288,0.914592,2.0895040000000003,0.5030675,1.45221209050993,0.725
2015,2015-11-01,Netherlands,310700,2455,0.007901512713228191,0.3163563333333333,0.6937896666666666,1.1701686666666666,0.41501720000000003,1.456379298688833,0.716
2015,2015-12-01,Netherlands,310700,2434,0.007833923398776959,0.6164246666666666,0.4729873333333333,0.25083333333333324,0.3269669000000001,1.4605465068677368,0.754
2016,2016-01-01,Netherlands,268220,2409,0.00898143315189024,0.916493,0.252185,-0.668502,0.2389166,1.46471371504664,0.6459999999999999
2016,2016-02-01,Netherlands,268220,2386,0.00889568264857207,0.688607,0.16318966666666668,-0.10938966666666672,0.3252895333333333,0.954603544064334,0.371
2016,2016-03-01,Netherlands,268220,2325,0.00866825740064127,0.460721,0.07419433333333332,0.4497226666666666,0.41166246666666667,0.44449337308202796,0.32
2016,2016-04-01,Netherlands,268220,2272,0.00847065841473417,0.232835,-0.014801,1.008835,0.4980354,-0.0656167979002779,0.395
2016,2016-05-01,Netherlands,268220,2276,0.008485571545746029,0.5293673333333333,0.3131826666666666,0.8233199999999999,0.2612747333333334,-0.6346834682434318,0.384
2016,2016-06-01,Netherlands,268220,2257,0.008414734173439709,0.8258996666666666,0.6411663333333333,0.6378050000000001,0.02451406666666673,-1.2037501385865859,0.25
2016,2016-07-01,Netherlands,268220,2220,0.00827678771158005,1.1224319999999999,0.96915,0.45228999999999997,-0.21224659999999998,-1.7728168089297398,0.062
2016,2016-08-01,Netherlands,268220,2227,0.008302885690850791,1.0292336666666666,1.0817809999999999,0.6482576666666666,-0.2624863333333333,-0.2571898155788297,0.027000000000000003
2016,2016-09-01,Netherlands,268220,2204,0.00821713518753262,0.9360353333333332,1.194412,0.8442253333333333,-0.3127260666666667,1.2584371777720804,0.061
2016,2016-10-01,Netherlands,268220,2181,0.00813138468421445,0.8428370000000001,1.307043,1.040193,-0.3629658,2.77406417112299,0.156
2016,2016-11-01,Netherlands,268220,2213,0.0082506897323093,0.7310863333333334,1.8100916666666669,1.3787973333333332,-0.19037616666666668,1.9035766560874192,0.385
2016,2016-12-01,Netherlands,268220,2193,0.00817612407725002,0.6193356666666667,2.313140333333333,1.7174016666666665,-0.017786533333333354,1.0330891410518481,0.436
2017,2017-01-01,Netherlands,274450,2185,0.007961377300054659,0.5075850000000001,2.816189,2.056006,0.1548031,0.16260162601627698,0.48100000000000004
2017,2017-02-01,Netherlands,274450,2120,0.00772453998906905,0.6321103333333334,2.4237260000000003,2.0222233333333333,0.2363633333333333,-0.18380670819694467,0.486
2017,2017-03-01,Netherlands,274450,2087,0.007604299508107121,0.7566356666666667,2.031263,1.9884406666666667,0.31792356666666666,-0.5302150424101664,0.485
2017,2017-04-01,Netherlands,274450,2060,0.007505920932774641,0.8811610000000001,1.6388,1.9546580000000002,0.3994838,-0.876623376623388,0.498
2017,2017-05-01,Netherlands,274450,2092,0.007622517762798321,0.83006,1.5816103333333331,2.1208530000000003,0.3416791333333333,-0.5079880268219648,0.589
